;;;Execution time;Execution time;Number of checks;Number of rollups
Algorithm;Dataset;Criteria;Arithmetic Mean;Standard Deviation;Arithmetic Mean;Arithmetic Mean
Flash;Adult;[k];2.8382133333333332E7;2049818.7523423464;115.0;59.0
Flash;Adult;[l];3.6527167666666664E7;4342687.604988682;114.0;58.0
Flash;Adult;[t];1.0885365E7;669309.0865900448;31.0;21.0
Flash;Adult;[d];1.9727036E7;394533.7318062931;80.0;42.0
Flash;Adult;[k, l];2.9538616666666668E7;1286503.9367100021;108.0;54.0
Flash;Adult;[k, t];1.0413142E7;112707.48927644515;31.0;21.0
Flash;Adult;[k, d];1.5042617666666666E7;79982.5860693022;57.0;29.0
Flash;Adult;[d, l];1.6905813666666668E7;212156.27768777744;60.0;33.0
Flash;Adult;[d, t];8525446.0;511300.2824945435;27.0;18.0
Flash;Adult;[k, d, l];1.6274736666666666E7;395794.7554987728;58.0;30.0
Flash;Adult;[k, d, t];8498625.333333334;364259.5477806084;27.0;18.0
Flash;Cup;[k];4.0080735E7;5612326.433046014;33.0;21.0
Flash;Cup;[l];1.1418755033333333E8;1.26180464160248E7;35.0;22.0
Flash;Cup;[t];9.1824349E7;8803782.87665416;27.0;19.0
Flash;Cup;[d];3.1626258666666668E7;6134547.990031892;24.0;17.0
Flash;Cup;[k, l];1.0610031466666667E8;2885897.83975825;33.0;21.0
Flash;Cup;[k, t];9.529778766666667E7;1603262.7894267156;27.0;19.0
Flash;Cup;[k, d];2.9691186E7;3297712.587910596;30.0;19.0
Flash;Cup;[d, l];4.7436762333333336E7;3027433.706735844;29.0;19.0
Flash;Cup;[d, t];4.4933524333333336E7;9173379.033183701;24.0;17.0
Flash;Cup;[k, d, l];4.2080663E7;485338.0101001775;30.0;19.0
Flash;Cup;[k, d, t];4.6989746666666664E7;6953608.1516292915;28.0;19.0
Flash;Fars;[k];6.7318041E7;666202.9254866719;82.0;46.0
Flash;Fars;[l];9.192165433333333E7;3703654.2392094773;86.0;50.0
Flash;Fars;[t];3.4881568E7;657632.5414857449;25.0;17.0
Flash;Fars;[d];4.7444728333333336E7;1187800.3904298623;55.0;35.0
Flash;Fars;[k, l];8.648972066666667E7;8034734.4420611905;67.0;43.0
Flash;Fars;[k, t];4.0990849E7;9518941.243410056;25.0;17.0
Flash;Fars;[k, d];4.5917848E7;1131602.2286223194;63.0;35.0
